uid	code	category	long_description	short_description
978287	84909	1		Chemistry
978288	84910	1		Chemistry
978289	84911	1		Chemistry
978290	84912	1		Chemistry
978291	84913	1		Chemistry
978292	84914	1		Chemistry
978293	84915	1		Chemistry
978294	84916	1		Chemistry
978295	84917	1		Chemistry
978296	84918	1		Chemistry
978297	84919	1		Chemistry
978298	84920	1		Chemistry
978299	84921	1		Chemistry
978300	84922	1		Chemistry
978301	84923	1		Chemistry
978302	84924	1		Chemistry
978303	84925	1		Chemistry
978304	84926	1		Chemistry
978305	84927	1		Chemistry
978306	84928	1		Chemistry
978307	84929	1		Chemistry
978308	84930	1		Chemistry
978309	84931	1		Chemistry
978310	84932	1		Chemistry
978311	84933	1		Chemistry
978312	84934	1		Chemistry
978313	84935	1		Chemistry
978314	84936	1		Chemistry
978315	84937	1		Chemistry
978316	84938	1		Chemistry
978317	84939	1		Chemistry
978318	84940	1		Chemistry
978319	84941	1		Chemistry
978320	84942	1		Chemistry
978321	84943	1		Chemistry
978322	84944	1		Chemistry
978323	84945	1		Chemistry
978324	84946	1		Chemistry
978325	84947	1		Chemistry
978326	84948	1		Chemistry
978327	84949	1		Chemistry
978328	84950	1		Chemistry
978329	84951	1		Chemistry
978330	84952	1		Chemistry
978331	84953	1		Chemistry
978332	84954	1		Chemistry
978333	84955	1		Chemistry
978334	84956	1		Chemistry
978335	84957	1		Chemistry
978336	84958	1		Chemistry
978337	84959	1		Chemistry
978338	84960	1		Chemistry
978339	84961	1		Chemistry
978340	84962	1		Chemistry
978341	84963	1		Chemistry
978342	84964	1		Chemistry
978343	84965	1		Chemistry
978344	84966	1		Chemistry
978345	84967	1		Chemistry
978346	84968	1		Chemistry
978347	84969	1		Chemistry
978348	84970	1		Chemistry
978349	84971	1		Chemistry
978350	84972	1		Chemistry
978351	84973	1		Chemistry
978352	84974	1		Chemistry
978353	84975	1		Chemistry
978354	84976	1		Chemistry
978355	84977	1		Chemistry
978356	84978	1		Chemistry
978357	84979	1		Chemistry
978358	84980	1		Chemistry
978359	84981	1		Chemistry
978360	84982	1		Chemistry
978361	84983	1		Chemistry
978362	84984	1		Chemistry
978363	84985	1		Chemistry
978364	84986	1		Chemistry
978365	84987	1		Chemistry
978366	84988	1		Chemistry
978367	84989	1		Chemistry
978368	84990	1		Chemistry
978369	84991	1		Chemistry
978370	84992	1		Chemistry
978371	84993	1		Chemistry
978372	84994	1		Chemistry
978373	84995	1		Chemistry
978374	84996	1		Chemistry
978375	84997	1		Chemistry
978376	84998	1		Chemistry
978377	84999	1		Chemistry
978378	85002	1		Hematology and coagulation
978379	85003	1		Hematology and coagulation
978380	85004	1		Hematology and coagulation
978381	85005	1		Hematology and coagulation
978382	85006	1		Hematology and coagulation
978383	85007	1		Hematology and coagulation
978384	85008	1		Hematology and coagulation
978385	85009	1		Hematology and coagulation
978386	85010	1		Hematology and coagulation
978387	85011	1		Hematology and coagulation
978388	85012	1		Hematology and coagulation
978389	85013	1		Hematology and coagulation
978390	85014	1		Hematology and coagulation
978391	85015	1		Hematology and coagulation
978392	85016	1		Hematology and coagulation
978393	85017	1		Hematology and coagulation
978394	85018	1		Hematology and coagulation
978395	85019	1		Hematology and coagulation
978396	85020	1		Hematology and coagulation
978397	85021	1		Hematology and coagulation
978398	85022	1		Hematology and coagulation
978399	85023	1		Hematology and coagulation
978400	85024	1		Hematology and coagulation
978401	85025	1		Hematology and coagulation
978402	85026	1		Hematology and coagulation
978403	85027	1		Hematology and coagulation
978404	85028	1		Hematology and coagulation
978405	85029	1		Hematology and coagulation
978406	85030	1		Hematology and coagulation
978407	85031	1		Hematology and coagulation
978408	85032	1		Hematology and coagulation
978409	85033	1		Hematology and coagulation
978410	85034	1		Hematology and coagulation
978411	85035	1		Hematology and coagulation
978412	85036	1		Hematology and coagulation
978413	85037	1		Hematology and coagulation
978414	85038	1		Hematology and coagulation
978415	85039	1		Hematology and coagulation
978416	85040	1		Hematology and coagulation
978417	85041	1		Hematology and coagulation
978418	85042	1		Hematology and coagulation
978419	85043	1		Hematology and coagulation
978420	85044	1		Hematology and coagulation
978421	85045	1		Hematology and coagulation
978422	85046	1		Hematology and coagulation
978423	85047	1		Hematology and coagulation
978424	85048	1		Hematology and coagulation
978425	85049	1		Hematology and coagulation
978426	85050	1		Hematology and coagulation
978427	85051	1		Hematology and coagulation
978428	85052	1		Hematology and coagulation
978429	85053	1		Hematology and coagulation
978430	85054	1		Hematology and coagulation
978431	85055	1		Hematology and coagulation
978432	85056	1		Hematology and coagulation
978433	85057	1		Hematology and coagulation
978434	85058	1		Hematology and coagulation
978435	85059	1		Hematology and coagulation
978436	85060	1		Hematology and coagulation
978437	85061	1		Hematology and coagulation
978438	85062	1		Hematology and coagulation
978439	85063	1		Hematology and coagulation
978440	85064	1		Hematology and coagulation
978441	85065	1		Hematology and coagulation
978442	85066	1		Hematology and coagulation
978443	85067	1		Hematology and coagulation
978444	85068	1		Hematology and coagulation
978445	85069	1		Hematology and coagulation
978446	85070	1		Hematology and coagulation
978447	85071	1		Hematology and coagulation
978448	85072	1		Hematology and coagulation
978449	85073	1		Hematology and coagulation
978450	85074	1		Hematology and coagulation
978451	85075	1		Hematology and coagulation
978452	85076	1		Hematology and coagulation
978453	85077	1		Hematology and coagulation
978454	85078	1		Hematology and coagulation
978455	85079	1		Hematology and coagulation
978456	85080	1		Hematology and coagulation
978457	85081	1		Hematology and coagulation
978458	85082	1		Hematology and coagulation
978459	85083	1		Hematology and coagulation
978460	85084	1		Hematology and coagulation
978461	85085	1		Hematology and coagulation
978462	85086	1		Hematology and coagulation
978463	85087	1		Hematology and coagulation
978464	85088	1		Hematology and coagulation
978465	85089	1		Hematology and coagulation
978466	85090	1		Hematology and coagulation
978467	85091	1		Hematology and coagulation
978468	85092	1		Hematology and coagulation
978469	85093	1		Hematology and coagulation
978470	85094	1		Hematology and coagulation
978471	85095	1		Hematology and coagulation
978472	85096	1		Hematology and coagulation
978473	85097	1		Hematology and coagulation
978474	85098	1		Hematology and coagulation
978475	85099	1		Hematology and coagulation
978476	85100	1		Hematology and coagulation
978477	85101	1		Hematology and coagulation
978478	85102	1		Hematology and coagulation
978479	85103	1		Hematology and coagulation
978480	85104	1		Hematology and coagulation
978481	85105	1		Hematology and coagulation
978482	85106	1		Hematology and coagulation
978483	85107	1		Hematology and coagulation
978484	85108	1		Hematology and coagulation
978485	85109	1		Hematology and coagulation
978486	85110	1		Hematology and coagulation
978487	85111	1		Hematology and coagulation
978488	85112	1		Hematology and coagulation
978489	85113	1		Hematology and coagulation
978490	85114	1		Hematology and coagulation
978491	85115	1		Hematology and coagulation
978492	85116	1		Hematology and coagulation
978493	85117	1		Hematology and coagulation
978494	85118	1		Hematology and coagulation
978495	85119	1		Hematology and coagulation
978496	85120	1		Hematology and coagulation
978497	85121	1		Hematology and coagulation
978498	85122	1		Hematology and coagulation
978499	85123	1		Hematology and coagulation
978500	85124	1		Hematology and coagulation
978501	85125	1		Hematology and coagulation
978502	85126	1		Hematology and coagulation
978503	85127	1		Hematology and coagulation
978504	85128	1		Hematology and coagulation
978505	85129	1		Hematology and coagulation
978506	85130	1		Hematology and coagulation
978507	85131	1		Hematology and coagulation
978508	85132	1		Hematology and coagulation
978509	85133	1		Hematology and coagulation
978510	85134	1		Hematology and coagulation
978511	85135	1		Hematology and coagulation
978512	85136	1		Hematology and coagulation
978513	85137	1		Hematology and coagulation
978514	85138	1		Hematology and coagulation
978515	85139	1		Hematology and coagulation
978516	85140	1		Hematology and coagulation
978517	85141	1		Hematology and coagulation
978518	85142	1		Hematology and coagulation
978519	85143	1		Hematology and coagulation
978520	85144	1		Hematology and coagulation
978521	85145	1		Hematology and coagulation
978522	85146	1		Hematology and coagulation
978523	85147	1		Hematology and coagulation
978524	85148	1		Hematology and coagulation
978525	85149	1		Hematology and coagulation
978526	85150	1		Hematology and coagulation
978527	85151	1		Hematology and coagulation
978528	85152	1		Hematology and coagulation
978529	85153	1		Hematology and coagulation
978530	85154	1		Hematology and coagulation
978531	85155	1		Hematology and coagulation
978532	85156	1		Hematology and coagulation
978533	85157	1		Hematology and coagulation
978534	85158	1		Hematology and coagulation
978535	85159	1		Hematology and coagulation
978536	85160	1		Hematology and coagulation
978537	85161	1		Hematology and coagulation
978538	85162	1		Hematology and coagulation
978539	85163	1		Hematology and coagulation
978540	85164	1		Hematology and coagulation
978541	85165	1		Hematology and coagulation
978542	85166	1		Hematology and coagulation
978543	85167	1		Hematology and coagulation
978544	85168	1		Hematology and coagulation
978545	85169	1		Hematology and coagulation
978546	85170	1		Hematology and coagulation
978547	85171	1		Hematology and coagulation
978548	85172	1		Hematology and coagulation
978549	85173	1		Hematology and coagulation
978550	85174	1		Hematology and coagulation
978551	85175	1		Hematology and coagulation
978552	85176	1		Hematology and coagulation
978553	85177	1		Hematology and coagulation
978554	85178	1		Hematology and coagulation
978555	85179	1		Hematology and coagulation
978556	85180	1		Hematology and coagulation
978557	85181	1		Hematology and coagulation
978558	85182	1		Hematology and coagulation
978559	85183	1		Hematology and coagulation
978560	85184	1		Hematology and coagulation
978561	85185	1		Hematology and coagulation
978562	85186	1		Hematology and coagulation
978563	85187	1		Hematology and coagulation
978564	85188	1		Hematology and coagulation
978565	85189	1		Hematology and coagulation
978566	85190	1		Hematology and coagulation
978567	85191	1		Hematology and coagulation
978568	85192	1		Hematology and coagulation
978569	85193	1		Hematology and coagulation
978570	85194	1		Hematology and coagulation
978571	85195	1		Hematology and coagulation
978572	85196	1		Hematology and coagulation
978573	85197	1		Hematology and coagulation
978574	85198	1		Hematology and coagulation
978575	85199	1		Hematology and coagulation
978576	85200	1		Hematology and coagulation
978577	85201	1		Hematology and coagulation
978578	85202	1		Hematology and coagulation
978579	85203	1		Hematology and coagulation
978580	85204	1		Hematology and coagulation
978581	85205	1		Hematology and coagulation
978582	85206	1		Hematology and coagulation
978583	85207	1		Hematology and coagulation
978584	85208	1		Hematology and coagulation
978585	85209	1		Hematology and coagulation
978586	85210	1		Hematology and coagulation
978587	85211	1		Hematology and coagulation
978588	85212	1		Hematology and coagulation
978589	85213	1		Hematology and coagulation
978590	85214	1		Hematology and coagulation
978591	85215	1		Hematology and coagulation
978592	85216	1		Hematology and coagulation
978593	85217	1		Hematology and coagulation
978594	85218	1		Hematology and coagulation
978595	85219	1		Hematology and coagulation
978596	85220	1		Hematology and coagulation
978597	85221	1		Hematology and coagulation
978598	85222	1		Hematology and coagulation
978599	85223	1		Hematology and coagulation
978600	85224	1		Hematology and coagulation
978601	85225	1		Hematology and coagulation
978602	85226	1		Hematology and coagulation
978603	85227	1		Hematology and coagulation
978604	85228	1		Hematology and coagulation
978605	85229	1		Hematology and coagulation
978606	85230	1		Hematology and coagulation
978607	85231	1		Hematology and coagulation
978608	85232	1		Hematology and coagulation
978609	85233	1		Hematology and coagulation
978610	85234	1		Hematology and coagulation
978611	85235	1		Hematology and coagulation
978612	85236	1		Hematology and coagulation
978613	85237	1		Hematology and coagulation
978614	85238	1		Hematology and coagulation
978615	85239	1		Hematology and coagulation
978616	85240	1		Hematology and coagulation
978617	85241	1		Hematology and coagulation
978618	85242	1		Hematology and coagulation
978619	85243	1		Hematology and coagulation
978620	85244	1		Hematology and coagulation
978621	85245	1		Hematology and coagulation
978622	85246	1		Hematology and coagulation
978623	85247	1		Hematology and coagulation
978624	85248	1		Hematology and coagulation
978625	85249	1		Hematology and coagulation
978626	85250	1		Hematology and coagulation
978627	85251	1		Hematology and coagulation
978628	85252	1		Hematology and coagulation
978629	85253	1		Hematology and coagulation
978630	85254	1		Hematology and coagulation
978631	85255	1		Hematology and coagulation
978632	85256	1		Hematology and coagulation
978633	85257	1		Hematology and coagulation
978634	85258	1		Hematology and coagulation
978635	85259	1		Hematology and coagulation
978636	85260	1		Hematology and coagulation
978637	85261	1		Hematology and coagulation
978638	85262	1		Hematology and coagulation
978639	85263	1		Hematology and coagulation
978640	85264	1		Hematology and coagulation
978641	85265	1		Hematology and coagulation
978642	85266	1		Hematology and coagulation
978643	85267	1		Hematology and coagulation
978644	85268	1		Hematology and coagulation
978645	85269	1		Hematology and coagulation
978646	85270	1		Hematology and coagulation
978647	85271	1		Hematology and coagulation
978648	85272	1		Hematology and coagulation
978649	85273	1		Hematology and coagulation
978650	85274	1		Hematology and coagulation
978651	85275	1		Hematology and coagulation
978652	85276	1		Hematology and coagulation
978653	85277	1		Hematology and coagulation
978654	85278	1		Hematology and coagulation
978655	85279	1		Hematology and coagulation
978656	85280	1		Hematology and coagulation
978657	85281	1		Hematology and coagulation
978658	85282	1		Hematology and coagulation
978659	85283	1		Hematology and coagulation
978660	85284	1		Hematology and coagulation
978661	85285	1		Hematology and coagulation
978662	85286	1		Hematology and coagulation
978663	85287	1		Hematology and coagulation
978664	85288	1		Hematology and coagulation
978665	85289	1		Hematology and coagulation
978666	85290	1		Hematology and coagulation
978667	85291	1		Hematology and coagulation
978668	85292	1		Hematology and coagulation
978669	85293	1		Hematology and coagulation
978670	85294	1		Hematology and coagulation
978671	85295	1		Hematology and coagulation
978672	85296	1		Hematology and coagulation
978673	85297	1		Hematology and coagulation
978674	85298	1		Hematology and coagulation
978675	85299	1		Hematology and coagulation
978676	85300	1		Hematology and coagulation
978677	85301	1		Hematology and coagulation
978678	85302	1		Hematology and coagulation
978679	85303	1		Hematology and coagulation
978680	85304	1		Hematology and coagulation
978681	85305	1		Hematology and coagulation
978682	85306	1		Hematology and coagulation
978683	85307	1		Hematology and coagulation
978684	85308	1		Hematology and coagulation
978685	85309	1		Hematology and coagulation
978686	85310	1		Hematology and coagulation
978687	85311	1		Hematology and coagulation
978688	85312	1		Hematology and coagulation
978689	85313	1		Hematology and coagulation
978690	85314	1		Hematology and coagulation
978691	85315	1		Hematology and coagulation
978692	85316	1		Hematology and coagulation
978693	85317	1		Hematology and coagulation
978694	85318	1		Hematology and coagulation
978695	85319	1		Hematology and coagulation
978696	85320	1		Hematology and coagulation
978697	85321	1		Hematology and coagulation
978698	85322	1		Hematology and coagulation
978699	85323	1		Hematology and coagulation
978700	85324	1		Hematology and coagulation
978701	85325	1		Hematology and coagulation
978702	85326	1		Hematology and coagulation
978703	85327	1		Hematology and coagulation
978704	85328	1		Hematology and coagulation
978705	85329	1		Hematology and coagulation
978706	85330	1		Hematology and coagulation
978707	85331	1		Hematology and coagulation
978708	85332	1		Hematology and coagulation
978709	85333	1		Hematology and coagulation
978710	85334	1		Hematology and coagulation
978711	85335	1		Hematology and coagulation
978712	85336	1		Hematology and coagulation
978713	85337	1		Hematology and coagulation
978714	85338	1		Hematology and coagulation
978715	85339	1		Hematology and coagulation
978716	85340	1		Hematology and coagulation
978717	85341	1		Hematology and coagulation
978718	85342	1		Hematology and coagulation
978719	85343	1		Hematology and coagulation
978720	85344	1		Hematology and coagulation
978721	85345	1		Hematology and coagulation
978722	85346	1		Hematology and coagulation
978723	85347	1		Hematology and coagulation
978724	85348	1		Hematology and coagulation
978725	85349	1		Hematology and coagulation
978726	85350	1		Hematology and coagulation
978727	85351	1		Hematology and coagulation
978728	85352	1		Hematology and coagulation
978729	85353	1		Hematology and coagulation
978730	85354	1		Hematology and coagulation
978731	85355	1		Hematology and coagulation
978732	85356	1		Hematology and coagulation
978733	85357	1		Hematology and coagulation
978734	85358	1		Hematology and coagulation
978735	85359	1		Hematology and coagulation
978736	85360	1		Hematology and coagulation
978737	85361	1		Hematology and coagulation
978738	85362	1		Hematology and coagulation
978739	85363	1		Hematology and coagulation
978740	85364	1		Hematology and coagulation
978741	85365	1		Hematology and coagulation
978742	85366	1		Hematology and coagulation
978743	85367	1		Hematology and coagulation
978744	85368	1		Hematology and coagulation
978745	85369	1		Hematology and coagulation
978746	85370	1		Hematology and coagulation
978747	85371	1		Hematology and coagulation
978748	85372	1		Hematology and coagulation
978749	85373	1		Hematology and coagulation
978750	85374	1		Hematology and coagulation
978751	85375	1		Hematology and coagulation
978752	85376	1		Hematology and coagulation
978753	85377	1		Hematology and coagulation
978754	85378	1		Hematology and coagulation
978755	85379	1		Hematology and coagulation
978756	85380	1		Hematology and coagulation
978757	85381	1		Hematology and coagulation
978758	85382	1		Hematology and coagulation
978759	85383	1		Hematology and coagulation
978760	85384	1		Hematology and coagulation
978761	85385	1		Hematology and coagulation
978762	85386	1		Hematology and coagulation
978763	85387	1		Hematology and coagulation
978764	85388	1		Hematology and coagulation
978765	85389	1		Hematology and coagulation
978766	85390	1		Hematology and coagulation
978767	85391	1		Hematology and coagulation
978768	85392	1		Hematology and coagulation
978769	85393	1		Hematology and coagulation
978770	85394	1		Hematology and coagulation
978771	85395	1		Hematology and coagulation
978772	85396	1		Hematology and coagulation
978773	85397	1		Hematology and coagulation
978774	85398	1		Hematology and coagulation
978775	85399	1		Hematology and coagulation
978776	85400	1		Hematology and coagulation
978777	85401	1		Hematology and coagulation
978778	85402	1		Hematology and coagulation
978779	85403	1		Hematology and coagulation
978780	85404	1		Hematology and coagulation
978781	85405	1		Hematology and coagulation
978782	85406	1		Hematology and coagulation
978783	85407	1		Hematology and coagulation
978784	85408	1		Hematology and coagulation
978785	85409	1		Hematology and coagulation
978786	85410	1		Hematology and coagulation
978787	85411	1		Hematology and coagulation
978788	85412	1		Hematology and coagulation
978789	85413	1		Hematology and coagulation
978790	85414	1		Hematology and coagulation
978791	85415	1		Hematology and coagulation
978792	85416	1		Hematology and coagulation
978793	85417	1		Hematology and coagulation
978794	85418	1		Hematology and coagulation
978795	85419	1		Hematology and coagulation
978796	85420	1		Hematology and coagulation
978797	85421	1		Hematology and coagulation
978798	85422	1		Hematology and coagulation
978799	85423	1		Hematology and coagulation
978800	85424	1		Hematology and coagulation
978801	85425	1		Hematology and coagulation
978802	85426	1		Hematology and coagulation
978803	85427	1		Hematology and coagulation
978804	85428	1		Hematology and coagulation
978805	85429	1		Hematology and coagulation
978806	85430	1		Hematology and coagulation
978807	85431	1		Hematology and coagulation
978808	85432	1		Hematology and coagulation
978809	85433	1		Hematology and coagulation
978810	85434	1		Hematology and coagulation
978811	85435	1		Hematology and coagulation
978812	85436	1		Hematology and coagulation
978813	85437	1		Hematology and coagulation
978814	85438	1		Hematology and coagulation
978815	85439	1		Hematology and coagulation
978816	85440	1		Hematology and coagulation
978817	85441	1		Hematology and coagulation
978818	85442	1		Hematology and coagulation
978819	85443	1		Hematology and coagulation
978820	85444	1		Hematology and coagulation
978821	85445	1		Hematology and coagulation
978822	85446	1		Hematology and coagulation
978823	85447	1		Hematology and coagulation
978824	85448	1		Hematology and coagulation
978825	85449	1		Hematology and coagulation
978826	85450	1		Hematology and coagulation
978827	85451	1		Hematology and coagulation
978828	85452	1		Hematology and coagulation
978829	85453	1		Hematology and coagulation
978830	85454	1		Hematology and coagulation
978831	85455	1		Hematology and coagulation
978832	85456	1		Hematology and coagulation
978833	85457	1		Hematology and coagulation
978834	85458	1		Hematology and coagulation
978835	85459	1		Hematology and coagulation
978836	85460	1		Hematology and coagulation
978837	85461	1		Hematology and coagulation
978838	85462	1		Hematology and coagulation
978839	85463	1		Hematology and coagulation
978840	85464	1		Hematology and coagulation
978841	85465	1		Hematology and coagulation
978842	85466	1		Hematology and coagulation
978843	85467	1		Hematology and coagulation
978844	85468	1		Hematology and coagulation
978845	85469	1		Hematology and coagulation
978846	85470	1		Hematology and coagulation
978847	85471	1		Hematology and coagulation
978848	85472	1		Hematology and coagulation
978849	85473	1		Hematology and coagulation
978850	85474	1		Hematology and coagulation
978851	85475	1		Hematology and coagulation
978852	85476	1		Hematology and coagulation
978853	85477	1		Hematology and coagulation
978854	85478	1		Hematology and coagulation
978855	85479	1		Hematology and coagulation
978856	85480	1		Hematology and coagulation
978857	85481	1		Hematology and coagulation
978858	85482	1		Hematology and coagulation
978859	85483	1		Hematology and coagulation
978860	85484	1		Hematology and coagulation
978861	85485	1		Hematology and coagulation
978862	85486	1		Hematology and coagulation
978863	85487	1		Hematology and coagulation
978864	85488	1		Hematology and coagulation
978865	85489	1		Hematology and coagulation
978866	85490	1		Hematology and coagulation
978867	85491	1		Hematology and coagulation
978868	85492	1		Hematology and coagulation
978869	85493	1		Hematology and coagulation
978870	85494	1		Hematology and coagulation
978871	85495	1		Hematology and coagulation
978872	85496	1		Hematology and coagulation
978873	85497	1		Hematology and coagulation
978874	85498	1		Hematology and coagulation
978875	85499	1		Hematology and coagulation
978876	85500	1		Hematology and coagulation
978877	85501	1		Hematology and coagulation
978878	85502	1		Hematology and coagulation
978879	85503	1		Hematology and coagulation
978880	85504	1		Hematology and coagulation
978881	85505	1		Hematology and coagulation
978882	85506	1		Hematology and coagulation
978883	85507	1		Hematology and coagulation
978884	85508	1		Hematology and coagulation
978885	85509	1		Hematology and coagulation
978886	85510	1		Hematology and coagulation
978887	85511	1		Hematology and coagulation
978888	85512	1		Hematology and coagulation
978889	85513	1		Hematology and coagulation
978890	85514	1		Hematology and coagulation
978891	85515	1		Hematology and coagulation
978892	85516	1		Hematology and coagulation
978893	85517	1		Hematology and coagulation
978894	85518	1		Hematology and coagulation
978895	85519	1		Hematology and coagulation
978896	85520	1		Hematology and coagulation
978897	85521	1		Hematology and coagulation
978898	85522	1		Hematology and coagulation
978899	85523	1		Hematology and coagulation
978900	85524	1		Hematology and coagulation
978901	85525	1		Hematology and coagulation
978902	85526	1		Hematology and coagulation
978903	85527	1		Hematology and coagulation
978904	85528	1		Hematology and coagulation
978905	85529	1		Hematology and coagulation
978906	85530	1		Hematology and coagulation
978907	85531	1		Hematology and coagulation
978908	85532	1		Hematology and coagulation
978909	85533	1		Hematology and coagulation
978910	85534	1		Hematology and coagulation
978911	85535	1		Hematology and coagulation
978912	85536	1		Hematology and coagulation
978913	85537	1		Hematology and coagulation
978914	85538	1		Hematology and coagulation
978915	85539	1		Hematology and coagulation
978916	85540	1		Hematology and coagulation
978917	85541	1		Hematology and coagulation
978918	85542	1		Hematology and coagulation
978919	85543	1		Hematology and coagulation
978920	85544	1		Hematology and coagulation
978921	85545	1		Hematology and coagulation
978922	85546	1		Hematology and coagulation
978923	85547	1		Hematology and coagulation
978924	85548	1		Hematology and coagulation
978925	85549	1		Hematology and coagulation
978926	85550	1		Hematology and coagulation
978927	85551	1		Hematology and coagulation
978928	85552	1		Hematology and coagulation
978929	85553	1		Hematology and coagulation
978930	85554	1		Hematology and coagulation
978931	85555	1		Hematology and coagulation
978932	85556	1		Hematology and coagulation
978933	85557	1		Hematology and coagulation
978934	85558	1		Hematology and coagulation
978935	85559	1		Hematology and coagulation
978936	85560	1		Hematology and coagulation
978937	85561	1		Hematology and coagulation
978938	85562	1		Hematology and coagulation
978939	85563	1		Hematology and coagulation
978940	85564	1		Hematology and coagulation
978941	85565	1		Hematology and coagulation
978942	85566	1		Hematology and coagulation
978943	85567	1		Hematology and coagulation
978944	85568	1		Hematology and coagulation
978945	85569	1		Hematology and coagulation
978946	85570	1		Hematology and coagulation
978947	85571	1		Hematology and coagulation
978948	85572	1		Hematology and coagulation
978949	85573	1		Hematology and coagulation
978950	85574	1		Hematology and coagulation
978951	85575	1		Hematology and coagulation
978952	85576	1		Hematology and coagulation
978953	85577	1		Hematology and coagulation
978954	85578	1		Hematology and coagulation
978955	85579	1		Hematology and coagulation
978956	85580	1		Hematology and coagulation
978957	85581	1		Hematology and coagulation
978958	85582	1		Hematology and coagulation
978959	85583	1		Hematology and coagulation
978960	85584	1		Hematology and coagulation
978961	85585	1		Hematology and coagulation
978962	85586	1		Hematology and coagulation
978963	85587	1		Hematology and coagulation
978964	85588	1		Hematology and coagulation
978965	85589	1		Hematology and coagulation
978966	85590	1		Hematology and coagulation
978967	85591	1		Hematology and coagulation
978968	85592	1		Hematology and coagulation
978969	85593	1		Hematology and coagulation
978970	85594	1		Hematology and coagulation
978971	85595	1		Hematology and coagulation
978972	85596	1		Hematology and coagulation
978973	85597	1		Hematology and coagulation
978974	85598	1		Hematology and coagulation
978975	85599	1		Hematology and coagulation
978976	85600	1		Hematology and coagulation
978977	85601	1		Hematology and coagulation
978978	85602	1		Hematology and coagulation
978979	85603	1		Hematology and coagulation
978980	85604	1		Hematology and coagulation
978981	85605	1		Hematology and coagulation
978982	85606	1		Hematology and coagulation
978983	85607	1		Hematology and coagulation
978984	85608	1		Hematology and coagulation
978985	85609	1		Hematology and coagulation
978986	85610	1		Hematology and coagulation
978987	85611	1		Hematology and coagulation
978988	85612	1		Hematology and coagulation
978989	85613	1		Hematology and coagulation
978990	85614	1		Hematology and coagulation
978991	85615	1		Hematology and coagulation
978992	85616	1		Hematology and coagulation
978993	85617	1		Hematology and coagulation
978994	85618	1		Hematology and coagulation
978995	85619	1		Hematology and coagulation
978996	85620	1		Hematology and coagulation
978997	85621	1		Hematology and coagulation
978998	85622	1		Hematology and coagulation
978999	85623	1		Hematology and coagulation
979000	85624	1		Hematology and coagulation
979001	85625	1		Hematology and coagulation
979002	85626	1		Hematology and coagulation
979003	85627	1		Hematology and coagulation
979004	85628	1		Hematology and coagulation
979005	85629	1		Hematology and coagulation
979006	85630	1		Hematology and coagulation
979007	85631	1		Hematology and coagulation
979008	85632	1		Hematology and coagulation
979009	85633	1		Hematology and coagulation
979010	85634	1		Hematology and coagulation
979011	85635	1		Hematology and coagulation
979012	85636	1		Hematology and coagulation
979013	85637	1		Hematology and coagulation
979014	85638	1		Hematology and coagulation
979015	85639	1		Hematology and coagulation
979016	85640	1		Hematology and coagulation
979017	85641	1		Hematology and coagulation
979018	85642	1		Hematology and coagulation
979019	85643	1		Hematology and coagulation
979020	85644	1		Hematology and coagulation
979021	85645	1		Hematology and coagulation
979022	85646	1		Hematology and coagulation
979023	85647	1		Hematology and coagulation
979024	85648	1		Hematology and coagulation
979025	85649	1		Hematology and coagulation
979026	85650	1		Hematology and coagulation
979027	85651	1		Hematology and coagulation
979028	85652	1		Hematology and coagulation
979029	85653	1		Hematology and coagulation
979030	85654	1		Hematology and coagulation
979031	85655	1		Hematology and coagulation
979032	85656	1		Hematology and coagulation
979033	85657	1		Hematology and coagulation
979034	85658	1		Hematology and coagulation
979035	85659	1		Hematology and coagulation
979036	85660	1		Hematology and coagulation
979037	85661	1		Hematology and coagulation
979038	85662	1		Hematology and coagulation
979039	85663	1		Hematology and coagulation
979040	85664	1		Hematology and coagulation
979041	85665	1		Hematology and coagulation
979042	85666	1		Hematology and coagulation
979043	85667	1		Hematology and coagulation
979044	85668	1		Hematology and coagulation
979045	85669	1		Hematology and coagulation
979046	85670	1		Hematology and coagulation
979047	85671	1		Hematology and coagulation
979048	85672	1		Hematology and coagulation
979049	85673	1		Hematology and coagulation
979050	85674	1		Hematology and coagulation
979051	85675	1		Hematology and coagulation
979052	85676	1		Hematology and coagulation
979053	85677	1		Hematology and coagulation
979054	85678	1		Hematology and coagulation
979055	85679	1		Hematology and coagulation
979056	85680	1		Hematology and coagulation
979057	85681	1		Hematology and coagulation
979058	85682	1		Hematology and coagulation
979059	85683	1		Hematology and coagulation
979060	85684	1		Hematology and coagulation
979061	85685	1		Hematology and coagulation
979062	85686	1		Hematology and coagulation
979063	85687	1		Hematology and coagulation
979064	85688	1		Hematology and coagulation
979065	85689	1		Hematology and coagulation
979066	85690	1		Hematology and coagulation
979067	85691	1		Hematology and coagulation
979068	85692	1		Hematology and coagulation
979069	85693	1		Hematology and coagulation
979070	85694	1		Hematology and coagulation
979071	85695	1		Hematology and coagulation
979072	85696	1		Hematology and coagulation
979073	85697	1		Hematology and coagulation
979074	85698	1		Hematology and coagulation
979075	85699	1		Hematology and coagulation
979076	85700	1		Hematology and coagulation
979077	85701	1		Hematology and coagulation
979078	85702	1		Hematology and coagulation
979079	85703	1		Hematology and coagulation
979080	85704	1		Hematology and coagulation
979081	85705	1		Hematology and coagulation
979082	85706	1		Hematology and coagulation
979083	85707	1		Hematology and coagulation
